contributor_id,session_id,timestamp,image_filename,steering_angle,speed_kmh,brake,autonomous_mode,lane_side,line_detected,edge_detected,gps_x,gps_y,lidar_obstacle_detected,lidar_obstacle_distance,behavior_class,nav_command,obstacle_type
A01,20260627_125102,2026-06-27T18:51:02.048,A01_frame_000001.jpg,0.0000,0.00,0.0000,0,1,0,0,,,0,,0,0,
A01,20260627_125102,2026-06-27T18:51:02.574,A01_frame_000002.jpg,0.0000,0.00,0.0000,0,1,0,0,,,0,,0,0,
A01,20260627_125102,2026-06-27T18:51:03.094,A01_frame_000003.jpg,0.0000,0.00,0.0000,0,1,0,0,,,0,,0,0,
A01,20260627_125102,2026-06-27T18:51:03.604,A01_frame_000004.jpg,0.0000,15.00,0.0000,0,1,0,0,,,0,,0,0,
A01,20260627_125102,2026-06-27T18:51:04.129,A01_frame_000005.jpg,0.0000,30.00,0.0000,0,1,0,0,,,0,,0,0,
A01,20260627_125102,2026-06-27T18:51:04.631,A01_frame_000006.jpg,0.0000,35.00,0.0000,0,1,0,0,,,0,,0,0,
A01,20260627_125102,2026-06-27T18:51:05.136,A01_frame_000007.jpg,0.0000,35.00,0.0000,0,1,0,0,,,0,,0,0,
A01,20260627_125102,2026-06-27T18:51:05.655,A01_frame_000008.jpg,0.0000,35.00,0.0000,0,1,0,0,,,0,,0,0,
A01,20260627_125102,2026-06-27T18:51:06.163,A01_frame_000009.jpg,0.0000,35.00,0.0000,0,1,0,0,,,0,,0,0,
A01,20260627_125102,2026-06-27T18:51:06.685,A01_frame_000010.jpg,0.0000,35.00,0.0000,0,1,0,0,,,0,,0,0,
A01,20260627_125102,2026-06-27T18:51:07.199,A01_frame_000011.jpg,0.0000,35.00,0.0000,0,1,0,0,,,0,,0,0,
A01,20260627_125102,2026-06-27T18:51:07.716,A01_frame_000012.jpg,0.0000,35.00,0.0000,0,1,0,0,,,0,,0,0,
A01,20260627_125102,2026-06-27T18:51:08.234,A01_frame_000013.jpg,0.0000,35.00,0.0000,0,1,0,0,,,0,,0,0,
A01,20260627_125102,2026-06-27T18:51:08.749,A01_frame_000014.jpg,0.0000,35.00,0.0000,0,1,0,0,,,0,,0,0,
A01,20260627_125102,2026-06-27T18:51:09.264,A01_frame_000015.jpg,0.0000,35.00,0.0000,0,1,0,0,,,0,,0,0,
A01,20260627_125102,2026-06-27T18:51:09.786,A01_frame_000016.jpg,0.0000,35.00,0.0000,0,1,0,0,,,0,,0,0,
A01,20260627_125102,2026-06-27T18:51:10.299,A01_frame_000017.jpg,0.0000,35.00,0.0000,0,1,0,0,,,0,,0,0,
A01,20260627_125102,2026-06-27T18:51:10.817,A01_frame_000018.jpg,0.0000,30.00,0.0000,0,1,0,0,,,0,,0,0,
A01,20260627_125102,2026-06-27T18:51:11.326,A01_frame_000019.jpg,0.0000,30.00,0.0000,0,1,0,0,,,0,,0,0,
A01,20260627_125102,2026-06-27T18:51:11.834,A01_frame_000020.jpg,0.0000,30.00,0.0000,0,1,0,0,,,0,,0,0,
A01,20260627_125102,2026-06-27T18:51:12.347,A01_frame_000021.jpg,0.0000,35.00,0.0000,0,1,0,0,,,0,,0,0,
A01,20260627_125102,2026-06-27T18:51:12.849,A01_frame_000022.jpg,0.0000,35.00,0.0000,0,1,0,0,,,0,,0,0,
A01,20260627_125102,2026-06-27T18:51:13.366,A01_frame_000023.jpg,0.0000,35.00,0.0000,0,1,0,0,,,0,,0,0,
A01,20260627_125102,2026-06-27T18:51:13.872,A01_frame_000024.jpg,0.0000,35.00,0.0000,0,1,0,0,,,0,,0,0,
A01,20260627_125102,2026-06-27T18:51:14.377,A01_frame_000025.jpg,0.0000,35.00,0.0000,0,1,0,0,,,0,,0,0,
A01,20260627_125102,2026-06-27T18:51:14.889,A01_frame_000026.jpg,0.0000,35.00,0.0000,0,1,0,0,,,0,,0,0,
A01,20260627_125102,2026-06-27T18:51:15.395,A01_frame_000027.jpg,0.0000,35.00,0.0000,0,1,0,0,,,0,,0,0,
A01,20260627_125102,2026-06-27T18:51:15.904,A01_frame_000028.jpg,0.0000,40.00,0.0000,0,1,0,0,,,0,,0,0,
A01,20260627_125102,2026-06-27T18:51:16.405,A01_frame_000029.jpg,0.0000,45.00,0.0000,0,1,0,0,,,0,,0,0,
A01,20260627_125102,2026-06-27T18:51:16.922,A01_frame_000030.jpg,0.0000,45.00,0.0000,0,1,0,0,,,0,,0,0,
A01,20260627_125102,2026-06-27T18:51:17.436,A01_frame_000031.jpg,0.0000,45.00,0.0000,0,1,0,0,,,0,,0,0,
A01,20260627_125102,2026-06-27T18:51:17.955,A01_frame_000032.jpg,0.0000,45.00,0.0000,0,1,0,0,,,0,,0,0,
A01,20260627_125102,2026-06-27T18:51:18.468,A01_frame_000033.jpg,0.0000,45.00,0.0000,0,1,0,0,,,0,,0,0,
A01,20260627_125102,2026-06-27T18:51:18.982,A01_frame_000034.jpg,0.0000,45.00,0.0000,0,1,0,0,,,0,,0,0,
